date,state,cases
2021-01-01,CA,877185
2021-01-01,FL,207612
2021-01-01,IL,127099
2021-01-01,NY,333399
2021-02-01,CA,182380
2021-02-01,FL,165000
2021-02-01,IL,50197
2021-02-01,NY,199327
2021-03-01,CA,83365
2021-03-01,FL,330204
2021-03-01,IL,70218
2021-03-01,NY,222687
2021-04-01,CA,65972
2021-04-01,FL,111786
2021-04-01,IL,81205
2021-04-01,NY,144255
2021-05-01,CA,38232
2021-05-01,FL,54597
2021-05-01,IL,31940
2021-05-01,NY,42055
2021-06-01,CA,35709
2021-06-01,FL,49974
2021-06-01,IL,9547
2021-06-01,NY,12562
2021-07-01,CA,203143
2021-07-01,FL,115593
2021-07-01,IL,49716
2021-07-01,NY,47079
2021-08-01,CA,414353
2021-08-01,FL,268491
2021-08-01,IL,115425
2021-08-01,NY,125079
2021-09-01,CA,251191
2021-09-01,FL,287957
2021-09-01,IL,90863
2021-09-01,NY,138688
2021-10-01,CA,178486
2021-10-01,FL,183619
2021-10-01,IL,74841
2021-10-01,NY,117439
2021-11-01,CA,163753
2021-11-01,FL,46151
2021-11-01,IL,163475
2021-11-01,NY,175322
2021-12-01,CA,326143
2021-12-01,FL,18569
2021-12-01,IL,394933
2021-12-01,NY,544276
