demographic_category,demographic_value,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,booster_recip_count,cumulative_booster_recip_count
Gender,Male,2020-01-05,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
Gender,Male,2020-03-03,1,2,0,1,1,1,0,0,0,0,0,0,1,2,0,0
Gender,Male,2020-07-27,2,4,1,2,1,2,0,0,0,0,0,0,2,4,0,0
Gender,Female,2020-07-27,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
Gender,Male,2020-07-28,2,6,0,2,2,4,0,0,0,0,0,0,2,6,0,0
Gender,Female,2020-07-28,3,4,1,2,2,2,0,0,0,0,0,0,3,4,0,0
Gender,Female,2020-07-29,5,9,0,2,5,7,0,0,1,1,0,0,5,9,0,0
Gender,Male,2020-07-29,3,9,0,2,3,7,0,0,0,0,0,0,3,9,0,0
Gender,Male,2020-07-30,5,14,3,5,2,9,0,0,1,1,0,0,5,14,0,0
Gender,Female,2020-07-30,6,15,1,3,5,12,0,0,0,1,0,0,6,15,0,0
Gender,Male,2020-07-31,5,19,3,8,2,11,0,0,1,2,0,0,5,19,0,0
Gender,Female,2020-07-31,1,16,0,3,1,13,0,0,0,1,0,0,1,16,0,0
Gender,Male,2020-08-01,8,27,3,11,5,16,0,0,3,5,0,0,8,27,0,0
Gender,Female,2020-08-01,3,19,1,4,2,15,0,0,0,1,0,0,3,19,0,0
Gender,Female,2020-08-02,2,21,2,6,0,15,0,0,0,1,0,0,2,21,0,0
Gender,Male,2020-08-02,3,30,1,12,2,18,0,0,0,5,0,0,3,30,0,0
Gender,Female,2020-08-03,7,28,0,6,7,22,0,0,0,1,0,0,7,28,0,0
Gender,Male,2020-08-03,7,37,0,12,7,25,0,0,1,6,0,0,7,37,0,0
Gender,Female,2020-08-04,11,39,2,8,9,31,0,0,0,1,0,0,11,39,0,0
Gender,Male,2020-08-04,11,48,5,17,6,31,0,0,0,6,0,0,11,48,0,0
Gender,Male,2020-08-05,8,56,3,20,5,36,0,0,2,8,0,0,8,56,0,0
Gender,Female,2020-08-05,10,49,2,10,8,39,0,0,0,1,0,0,10,49,0,0
Gender,Female,2020-08-06,12,61,4,14,8,47,0,0,0,1,0,0,12,61,0,0
Gender,Male,2020-08-06,7,63,2,22,5,41,0,0,0,8,0,0,7,63,0,0
Gender,Male,2020-08-07,6,69,4,26,2,43,0,0,0,8,0,0,6,69,0,0
